freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
4.7356185E+006	3.2387287E+001	-9.1623016E+001
3.2037188E+006	5.1727280E+001	-1.1009225E+002
2.1673750E+006	8.4163322E+001	-1.2977954E+002
1.4662634E+006	1.3140765E+002	-1.4229425E+002
9.9195556E+005	1.8653596E+002	-1.3615649E+002
6.7106775E+005	2.2561717E+002	-1.1897775E+002
4.5398791E+005	2.5352466E+002	-8.8151039E+001
3.0713703E+005	2.7225067E+002	-7.2614372E+001
2.0778281E+005	2.8017062E+002	-5.6770889E+001
1.4056933E+005	2.8723102E+002	-4.6233727E+001
9.5095383E+004	2.8656781E+002	-3.6964291E+001
6.4337141E+004	2.9662158E+002	-4.0835724E+001
4.3525457E+004	2.9938034E+002	-4.4431995E+001
2.9440693E+004	3.0450500E+002	-5.2899677E+001
1.9920945E+004	3.1485983E+002	-6.2613365E+001
1.3472386E+004	3.1876099E+002	-8.5365814E+001
9.1205166E+003	3.2718149E+002	-1.1432537E+002
6.3004048E+003	3.3825125E+002	-1.5288718E+002
4.1713340E+003	3.5618231E+002	-2.1243332E+002
2.8222874E+003	3.8080908E+002	-2.9014053E+002
1.9093901E+003	4.1771127E+002	-3.9839713E+002
1.2920648E+003	4.6170520E+002	-5.4454584E+002
8.7416174E+002	5.3151123E+002	-7.4982159E+002
5.9132428E+002	6.1699683E+002	-1.0372239E+003
4.0012820E+002	7.5688190E+002	-1.4189940E+003
7.0000185E+006	3.1760168E+001	-8.3858002E+001
4.7356185E+006	3.2481197E+001	-9.1217232E+001
3.2037188E+006	5.2263393E+001	-1.0906041E+002
2.1673750E+006	8.4579720E+001	-1.2982487E+002
1.4662634E+006	1.3161453E+002	-1.4165712E+002
9.9195556E+005	1.8204149E+002	-1.3615994E+002
6.7106775E+005	2.2477829E+002	-1.1801381E+002
4.5398791E+005	2.5206303E+002	-9.3165779E+001
3.0713703E+005	2.6889886E+002	-7.1153252E+001
2.0778281E+005	2.7871249E+002	-5.3830212E+001
1.4056933E+005	2.8416510E+002	-4.6196865E+001
9.5095383E+004	2.8559531E+002	-3.9878059E+001
6.4337141E+004	2.9294632E+002	-4.0809582E+001
4.3525457E+004	2.9610815E+002	-4.3253628E+001
2.9440693E+004	3.0083875E+002	-5.1833473E+001
1.9920945E+004	3.0764185E+002	-6.4913162E+001
1.3472386E+004	3.1758182E+002	-8.4457993E+001
9.1205166E+003	3.2413599E+002	-1.1443993E+002
6.3004048E+003	3.3575067E+002	-1.5340907E+002
4.1713340E+003	3.5411014E+002	-2.0911745E+002
2.8222874E+003	3.7804025E+002	-2.8846857E+002
1.9093901E+003	4.1166855E+002	-3.9272525E+002
1.2920648E+003	4.6113165E+002	-5.4969281E+002
8.7416174E+002	5.2972705E+002	-7.4322015E+002
5.9132428E+002	6.1900293E+002	-1.0278949E+003
4.0012820E+002	7.5607446E+002	-1.4073322E+003
7.0000185E+006	3.2280186E+001	-8.3374268E+001
4.7356185E+006	3.2951126E+001	-9.1011261E+001
3.2037188E+006	5.2429668E+001	-1.0954933E+002
2.1673750E+006	8.5363876E+001	-1.2892505E+002
1.4662634E+006	1.3066313E+002	-1.4102557E+002
9.9195556E+005	1.7854214E+002	-1.3641093E+002
6.7106775E+005	2.2305942E+002	-1.1476897E+002
4.5398791E+005	2.4926346E+002	-9.0638641E+001
3.0713703E+005	2.6782968E+002	-7.1202484E+001
2.0778281E+005	2.7717587E+002	-5.5091515E+001
1.4056933E+005	2.8131079E+002	-4.5166328E+001
9.5095383E+004	2.7763422E+002	-3.9670738E+001
6.4337141E+004	2.8984244E+002	-4.0147335E+001
4.3525457E+004	2.9403879E+002	-4.2921803E+001
2.9440693E+004	2.9814981E+002	-5.1756432E+001
1.9920945E+004	3.0631238E+002	-6.4255760E+001
1.3472386E+004	3.1275308E+002	-8.6255035E+001
9.1205166E+003	3.2112381E+002	-1.1290513E+002
6.3004048E+003	3.2697809E+002	-1.4784688E+002
4.1713340E+003	3.5194833E+002	-2.0930452E+002
2.8222874E+003	3.7718826E+002	-2.8803299E+002
1.9093901E+003	4.1162497E+002	-3.9977667E+002
1.2920648E+003	4.5530246E+002	-5.4626953E+002
8.7416174E+002	5.1312396E+002	-7.6107813E+002
5.9132428E+002	6.1143781E+002	-1.0266738E+003
4.0012820E+002	7.5038953E+002	-1.4037979E+003
7.0000185E+006	-9.8790102E+000	-8.7160141E+001
4.7356185E+006	2.0216524E+002	-2.4252874E+001
3.2037188E+006	2.2852440E+002	3.7857980E+002
2.1673750E+006	3.1943869E+002	3.9847534E+002
1.4662634E+006	6.8653455E+002	1.5296687E+002
9.9195556E+005	4.5080887E+002	-1.6262143E+002
7.0000185E+006	1.6014301E+001	-1.6935259E+001
4.7356185E+006	-1.0590562E+002	4.7028248E+001
3.2037188E+006	1.5745305E+002	4.7508200E+002
2.1673750E+006	7.1621051E+002	5.3638641E+002
7.0000185E+006	2.0165386E+001	-1.3514402E+001
4.7356185E+006	1.0105213E+002	2.0791824E+002
3.2037188E+006	3.9203232E+001	9.3183636E+002
2.1673750E+006	5.7336017E+002	3.9308798E+002
1.4662634E+006	4.9028839E+002	2.0810025E+002
7.0000185E+006	1.8837740E+002	-4.4502249E+000
4.7356185E+006	1.9881195E+002	-3.7378152E+002
3.2037188E+006	-3.4216251E+000	4.5595587E+002
2.1673750E+006	2.4617986E+002	1.7760486E+002
1.4662634E+006	1.7997430E+002	7.3759888E+001
7.0000185E+006	1.6251265E+001	-3.4288586E+001
4.7356185E+006	-3.2688404E+001	-6.2321812E+001
3.2037188E+006	-5.2390583E+001	2.9483852E+001
2.1673750E+006	-1.9459793E+001	4.3885548E+001
1.4662634E+006	-7.2282014E+000	3.6913059E+001
7.0000185E+006	-2.6061991E+001	2.7011255E+001
4.7356185E+006	-1.5515559E+002	-2.4090784E+002
3.2037188E+006	1.4154597E+002	3.9821411E+002
2.1673750E+006	3.2610172E+002	1.8683260E+002
1.4662634E+006	2.9293579E+002	8.5117493E+001
9.9195556E+005	3.4178280E+001	-2.6198027E+001
7.0000185E+006	1.0891060E+002	3.6027733E+001
4.7356185E+006	-1.0595233E+002	3.5073264E+002
3.2037188E+006	-8.1341293E+001	4.0369034E+002
2.1673750E+006	2.4298787E+002	2.9011978E+002
7.0000185E+006	-1.6796272E+001	-8.7544136E+001
4.7356185E+006	2.5977905E+002	-1.1704982E+002
3.2037188E+006	5.2283124E+002	7.4476697E+002
2.1673750E+006	2.3211188E+002	4.8050284E+002
7.0000185E+006	2.4849098E+001	-4.2939861E+001
4.7356185E+006	-5.1920124E+001	-3.2468021E+001
3.2037188E+006	-5.3236710E+001	2.8182957E+001
2.1673750E+006	-1.8879555E+001	4.2790440E+001
1.4662634E+006	-6.6441417E+000	3.7282181E+001
7.0000185E+006	-1.8088608E+002	-1.9483936E+002
4.7356185E+006	-1.2859062E+002	1.5070618E+002
3.2037188E+006	4.8208591E+001	8.6982825E+002
2.1673750E+006	2.8295724E+002	5.8620093E+002
1.4662634E+006	5.2296033E+002	1.9149118E+002
7.0000185E+006	2.6662054E+001	-2.1313266E+002
4.7356185E+006	8.2030739E+001	2.5578049E+002
3.2037188E+006	-2.4159098E+001	5.5607349E+002
2.1673750E+006	1.9768481E+002	2.9133060E+002
1.4662634E+006	2.2197670E+002	8.1751030E+001
7.0000185E+006	4.8424053E+001	-1.1545310E+002
4.7356185E+006	3.4441235E+002	-3.8937466E+001
3.2037188E+006	1.9043944E+002	5.9614325E+002
2.1673750E+006	4.4241119E+002	5.5654865E+002
7.0000185E+006	2.3847677E+001	-3.6711891E+001
4.7356185E+006	-5.6709167E+001	-4.0927933E+001
3.2037188E+006	-4.9152584E+001	3.2821804E+001
